VALUE,pop_densit,roads_dist,deforested,FARC_raste,NP_raster_,mines_dist,wells_dist,slope_ext,elevation_,y,x,rivers_dis,slope_ext_,layer,path
1.00000000,6.79800,0.23570,0.00314,1.00000,0.00000,1.87500,1.07474,0.00000,3.00000,5.96637,-70.08413,16970.56250,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.03005,0.00271,0.00000,0.00000,2.34291,1.50021,88.64978,3.00000,5.96637,-69.60095,6000.00000,4243.56787,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.11180,0.00435,1.00000,0.00000,3.36619,2.49003,0.00000,3.00000,5.96637,-68.55960,18973.66602,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,6.79800,0.23863,0.05033,1.00000,0.00000,0.60392,0.35920,0.00000,7.00000,5.95804,-71.60033,24083.18945,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.52208,0.01408,1.00000,0.00000,1.33648,2.35019,89.53680,9.00000,5.94971,-77.10698,36221.54297,12372.97461,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,6.79800,0.49944,0.00117,1.00000,0.00000,1.37762,0.65680,0.00000,4.00000,5.94971,-70.61730,25612.49805,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.14577,0.00138,0.00000,0.00000,2.86009,1.98753,0.00000,3.00000,5.94971,-69.07611,20000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.19614,0.05286,1.00000,0.00000,0.83931,1.95292,87.30106,3.00000,5.94137,-76.60714,12806.24902,2121.78394,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.05893,0.02285,1.00000,1.00000,0.36401,1.49229,89.84139,94.00000,5.94137,-76.12395,43863.42578,36133.05078,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,54.31300,0.32596,0.00803,0.00000,1.00000,0.18634,0.36534,89.94190,116.00000,5.90804,-72.53338,22000.00000,98629.16406,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,6.79800,0.12964,0.00246,1.00000,0.00000,0.69692,0.15321,0.00000,8.00000,5.49976,-72.03354,10000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.71788,0.00099,0.00000,0.00000,4.34366,3.31872,89.47031,4.00000,5.48310,-67.65987,0.00000,10819.38184,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,54.31300,0.15568,0.00549,0.00000,0.00000,0.33375,0.39176,89.94286,48.00000,5.47477,-74.09124,45343.13672,100284.71875,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,54.31300,0.04714,0.00680,0.00000,0.00000,0.07546,0.43629,89.94263,118.00000,5.47477,-73.54141,52497.62109,99885.35156,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,6.79800,0.13017,0.01597,1.00000,0.00000,1.64378,0.39835,0.00000,4.00000,5.47477,-70.59231,2828.42700,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.38042,0.00261,0.00000,0.00000,2.49944,1.37926,0.00000,4.00000,5.47477,-69.60095,38832.97656,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.58363,0.00787,0.00000,0.00000,2.97103,1.88645,0.00000,4.00000,5.47477,-69.09277,16124.51563,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.58624,0.00303,1.00000,1.00000,3.42122,2.36082,0.00000,3.00000,5.47477,-68.61791,0.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.57717,0.00721,1.00000,0.00000,3.90950,2.86871,0.00000,3.00000,5.47477,-68.10974,4000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,103.64400,0.02635,0.00083,0.00000,0.00000,0.54785,0.04167,89.94823,34.00000,5.46644,-74.57442,8000.00000,110703.38281,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,54.31300,0.10961,0.01798,0.00000,0.00000,0.34811,0.11211,89.95726,88.00000,5.46644,-72.59170,25059.92969,134090.87500,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,54.31300,0.10035,0.00394,0.00000,0.00000,0.23154,0.24296,89.89406,136.00000,5.45810,-73.06655,50911.69141,54093.26953,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.47507,0.02556,1.00000,0.00000,1.43829,1.85341,89.68388,13.00000,5.44977,-77.11531,38832.97656,18127.48828,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.01863,0.00864,1.00000,0.00000,1.00125,1.80010,89.04516,4.00000,5.44977,-76.60714,5656.85400,6001.83594,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.09204,0.02960,1.00000,0.00000,0.50249,1.33180,89.89969,48.00000,5.44977,-76.10729,40000.00000,57134.22656,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,130.78999,0.01667,0.00308,0.00000,0.00000,0.05000,0.88369,89.96281,51.00000,5.44977,-75.60744,91760.56250,154101.96875,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,0.58000,0.04488,0.01141,0.00000,0.00000,2.02940,0.83749,0.00000,4.00000,5.44977,-70.14245,14422.20508,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
